,context,ques,ans
1281,"The M.Tech program in Mathematics & Computing at IIT Patna is designed to fill the gap between professionals with strong mathematical backgrounds but limited computing skills and those with engineering backgrounds but insufficient mathematical training, making graduates highly sought after in industry and research institutions[6].",What is the primary objective of the M.Tech program in Mathematics & Computing at IIT Patna?,To bridge the gap between professionals with strong mathematical backgrounds but limited computing skills and those with engineering backgrounds but insufficient mathematical training.
1282,"The M.Tech program in Mathematics & Computing at IIT Patna is designed to fill the gap between professionals with strong mathematical backgrounds but limited computing skills and those with engineering backgrounds but insufficient mathematical training, making graduates highly sought after in industry and research institutions[6].",What are the two distinct professional profiles that this program aims to cater to?,"Professionals with strong mathematical backgrounds but limited computing skills, and those with engineering backgrounds but insufficient mathematical training."
1283,"The M.Tech program in Mathematics & Computing at IIT Patna is designed to fill the gap between professionals with strong mathematical backgrounds but limited computing skills and those with engineering backgrounds but insufficient mathematical training, making graduates highly sought after in industry and research institutions[6].",What is the career outlook for graduates of this program?,They are highly sought after in industry and research institutions.
1284,"The M.Tech program in Mathematics & Computing at IIT Patna is designed to fill the gap between professionals with strong mathematical backgrounds but limited computing skills and those with engineering backgrounds but insufficient mathematical training, making graduates highly sought after in industry and research institutions[6].",What are the two core disciplines that this program integrates?,Mathematics and Computing.
1285,"Core courses in the M.Tech Mathematics & Computing program at IIT Patna include Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504), providing a balanced education in both mathematics and computing[6].",Name four core courses in the M.Tech Mathematics & Computing program at IIT Patna.,"Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504)."
1286,"Core courses in the M.Tech Mathematics & Computing program at IIT Patna include Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504), providing a balanced education in both mathematics and computing[6].",Which of these core courses is from the Computer Science department?,Database Systems and Data Mining (CS501).
1287,"Core courses in the M.Tech Mathematics & Computing program at IIT Patna include Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504), providing a balanced education in both mathematics and computing[6].",Which of these core courses focuses on finding the best solution from a set of possibilities?,Numerical Optimization (MA502).
1288,"Core courses in the M.Tech Mathematics & Computing program at IIT Patna include Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504), providing a balanced education in both mathematics and computing[6].",Which core course deals with the study of random phenomena?,"Probability, Statistics & Stochastic Processes (MA501)."
1289,"Core courses in the M.Tech Mathematics & Computing program at IIT Patna include Probability, Statistics & Stochastic Processes (MA501), Database Systems and Data Mining (CS501), Numerical Optimization (MA502), and Computational Differential Equations (MA504), providing a balanced education in both mathematics and computing[6].",What is the focus of the core course Computational Differential Equations?,Using computational methods to solve differential equations.
1290,"The M.Sc. Physics program at IIT Patna, launched in 2016, is a two-year program designed to cover a wide range of subjects in both theoretical and experimental physics, with students having access to modern laboratory and computational facilities for hands-on learning experiences[7].",In what year was the M.Sc. Physics program launched at IIT Patna?,2016.
1291,"The M.Sc. Physics program at IIT Patna, launched in 2016, is a two-year program designed to cover a wide range of subjects in both theoretical and experimental physics, with students having access to modern laboratory and computational facilities for hands-on learning experiences[7].",What is the duration of the M.Sc. Physics program at IIT Patna?,Two years.
1292,"The M.Sc. Physics program at IIT Patna, launched in 2016, is a two-year program designed to cover a wide range of subjects in both theoretical and experimental physics, with students having access to modern laboratory and computational facilities for hands-on learning experiences[7].",What is the scope of subjects covered in this program?,A wide range of subjects in both theoretical and experimental physics.
